Case Number,Case Name,Case Manager,Case Status,Case Type,State,Date Opened
2026-100513,Sample Client 524,"Lozano, Beatriz",Open - Negotiation,Auto Accident,TX,6/28/2026
2026-100275,Sample Client 286,"Guzman, Elena",Open - Negotiation,Dog Bite,WA,1/20/2026
2026-100074,Sample Client 85,"Boone, Dana",Open - Litigation,Dog Bite,NV,6/5/2025
2026-100520,Sample Client 531,"Whitfield, Erin",Open - Demand Sent,Auto Accident,CA,5/5/2025
2026-100262,Sample Client 273,"Fontaine, Marcus",Open - Investigation,Slip and Fall,OR,7/19/2025
2026-100361,Sample Client 372,"Iyer, Nikhil",Open - Demand Sent,Slip and Fall,WA,2/19/2026
2026-100269,Sample Client 280,"Fontaine, Marcus",Open - Investigation,Dog Bite,CA,1/25/2026
2026-100432,Sample Client 443,"Kowalski, Tomasz",Open - Negotiation,Auto Accident,FL,6/29/2026
2026-100147,Sample Client 158,"Dutta, Priya",Open - Investigation,Dog Bite,IL,10/11/2025
2026-100249,Sample Client 260,"Fontaine, Marcus",Open - Treating,Auto Accident,TX,7/18/2025
2026-100217,Sample Client 228,"Ellison, Grace",Open - Demand Sent,Auto Accident,CO,9/2/2025
2026-100157,Sample Client 168,"Dutta, Priya",Open - Litigation,Wrongful Death,TX,4/24/2026
2026-100170,Sample Client 181,"Dutta, Priya",Open - Demand Sent,Auto Accident,TX,6/12/2026
2026-100438,Sample Client 449,"Kowalski, Tomasz",Open - Investigation,Slip and Fall,NY,7/15/2025
2026-100015,Sample Client 26,"Alvarez, Marisol",Open - Negotiation,Wrongful Death,CA,7/22/2025
2026-100381,Sample Client 392,"Iyer, Nikhil",Open - Litigation,Premises Liability,CO,3/1/2026
2026-100321,Sample Client 332,"Hollis, Wren",Open - Demand Sent,Premises Liability,OR,4/22/2026
2026-100474,Sample Client 485,"Kowalski, Tomasz",Open - Demand Sent,Premises Liability,GA,2/24/2026
2026-100153,Sample Client 164,"Dutta, Priya",Open - Negotiation,Dog Bite,IL,2/1/2025
2026-100014,Sample Client 25,"Alvarez, Marisol",Open - Negotiation,Premises Liability,AZ,6/15/2026
2026-100143,Sample Client 154,"Dutta, Priya",Open - Negotiation,Dog Bite,AZ,11/4/2025
2026-100311,Sample Client 322,"Hollis, Wren",Open - Investigation,Slip and Fall,NV,11/23/2025
2026-100416,Sample Client 427,"Jarrett, Colleen",Open - Demand Sent,Dog Bite,CO,11/20/2025
2026-100103,Sample Client 114,"Castellanos, Rafael",Open - Demand Sent,Premises Liability,TX,11/18/2025
2026-100253,Sample Client 264,"Fontaine, Marcus",Open - Demand Sent,Wrongful Death,CO,7/5/2025
